City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
60,Chincha Alta,PE,2022-02-13 20:53:39,-13.4099,-76.1323,77.59,70,18,8.19,few clouds
61,East London,ZA,2022-02-13 20:53:40,-33.0153,27.9116,73.2,82,78,9.48,broken clouds
62,Yarada,IN,2022-02-13 20:53:40,17.65,83.2667,68.32,77,20,2.3,mist
63,Bambous Virieux,MU,2022-02-13 20:53:40,-20.3428,57.7575,81.21,89,40,8.05,scattered clouds
64,Punta Arenas,CL,2022-02-13 20:52:12,-53.15,-70.9167,50.11,50,40,31.07,scattered clouds
65,Provideniya,RU,2022-02-13 20:53:41,64.3833,-173.3,-5.69,65,0,4.47,clear sky
66,Katsuura,JP,2022-02-13 20:53:41,35.1333,140.3,38.1,97,100,29.44,overcast clouds
67,Shellbrook,CA,2022-02-13 20:53:42,53.2168,-106.4011,16.83,84,48,14.5,scattered clouds
68,Thaton,MM,2022-02-13 20:53:42,16.9206,97.3714,67.55,42,74,3.33,broken clouds
69,Taoudenni,ML,2022-02-13 20:53:43,22.6783,-3.9836,64.83,23,0,11.99,clear sky
70,Puerto Escondido,MX,2022-02-13 20:53:43,15.85,-97.0667,86.94,50,97,6.42,overcast clouds
71,Carlos Barbosa,BR,2022-02-13 20:53:43,-29.2975,-51.5036,71.17,97,72,4.09,broken clouds
72,Sioux Lookout,CA,2022-02-13 20:49:09,50.1001,-91.917,-2.13,50,75,6.91,broken clouds
73,Yellowknife,CA,2022-02-13 20:53:44,62.456,-114.3525,-9.58,66,20,4.61,few clouds
74,Tautira,PF,2022-02-13 20:53:44,-17.7333,-149.15,86.02,76,88,16.26,light rain
75,Korla,CN,2022-02-13 20:53:45,41.7597,86.1469,28.92,46,0,4.76,clear sky
76,Yerazgavors,AM,2022-02-13 20:53:45,40.7,43.75,16.57,73,100,1.14,overcast clouds
77,Avarua,CK,2022-02-13 20:50:12,-21.2078,-159.775,80.65,78,75,4.61,broken clouds
78,Vanatori,RO,2022-02-13 20:53:46,45.7333,27.25,34.43,66,100,7.14,overcast clouds
79,Kangaatsiaq,GL,2022-02-13 20:53:46,68.3065,-53.4641,-3.17,88,100,41.9,overcast clouds
80,Ilulissat,GL,2022-02-13 20:53:47,69.2167,-51.1,22.41,72,100,25.46,overcast clouds
81,Bluff,NZ,2022-02-13 20:53:47,-46.6,168.3333,54.81,79,9,4.0,clear sky
